Point;Longitude;Latitude;Nom
1;46.30463888888889;-15.7211639;point_A
2; 46.304719444444444;-15.7223611;point_B
3; 46.30459444444444;-15.7233111;point_C
4;46.306105555555554;-15.72205;point_D
5;46.30742222222222;-15.7223639;point_E
